paper_id,title,pub_date,journal,abstract
paper_d052a23726,A study of Photovoltaic Perovskites,2016-09-29,Science Advances,Reports improvements in throughput using microfabrication.
paper_2d78c4405b,A study of Ai-Driven Medicinal Chemistry,2015-09-01,medRxiv,Reports improvements in stability using closed-loop control.
paper_4f0142f706,Towards Ultrafast Li-Ion Charging,2019-11-21,Sci Reports,Reports improvements in stability using novel reagent.
paper_91709e67ad,On Bioreactor Control,2023-03-29,Science Advances,Reports improvements in safety using closed-loop control.
paper_e8ac81468d,Engineering Single-Cell Multiomics,2020-03-24,Sci Reports,Reports improvements in yield using microfabrication.
paper_c511c1efbf,A study of Biosensors,2016-04-16,medRxiv,Reports improvements in safety using novel reagent.
paper_eed5a92217,Towards Nanopore Sequencing,2017-02-11,IEEE TBME,Reports improvements in efficacy using closed-loop control.
paper_1deed55c2d,Benchmarking Solid-State Cooling,2018-12-07,Sci Reports,Reports improvements in safety using microfabrication.
paper_ec18a6cb77,Towards Graphene Membranes,2013-03-26,Science Advances,Reports improvements in efficacy using novel reagent.
paper_75f140c3e8,Towards Battery Chemistry,2017-12-05,Sci Reports,Reports improvements in yield using novel reagent.
paper_65c9dad52b,Benchmarking Robotic Prosthetics,2011-11-15,Nature Communications,Reports improvements in yield using microfabrication.
paper_8023cb2d6f,Benchmarking Single-Cell Multiomics,2017-07-24,medRxiv,Reports improvements in yield using ML optimisation.
paper_818c24091a,Benchmarking Bioprinting,2015-02-19,medRxiv,Reports improvements in safety using microfabrication.
paper_d473363805,A study of Graphene Membranes,2015-05-03,BioRxiv,Reports improvements in yield using novel reagent.
paper_60554409d7,Benchmarking Battery Chemistry,2016-10-20,J. Med. Chem.,Reports improvements in safety using ML optimisation.
paper_ac49ce0f23,Engineering Biosensors,2017-02-21,Science Advances,Reports improvements in throughput using ML optimisation.
paper_89fa10766f,On Diagnostic Imaging,2010-10-05,IEEE TBME,Reports improvements in efficacy using novel reagent.
paper_89edeeada3,Engineering Robotic Prosthetics,2010-06-27,Sci Reports,Reports improvements in yield using ML optimisation.
paper_98921d5a88,On Ultrafast Li-Ion Charging,2017-07-03,J. Med. Chem.,Reports improvements in stability using microfabrication.
paper_31dc926e39,A study of Single-Cell Multiomics,2015-12-03,J. Med. Chem.,Reports improvements in yield using novel reagent.
paper_d12e64fbb2,Benchmarking Microfluidics,2015-02-26,BioRxiv,Reports improvements in efficacy using ML optimisation.
paper_21233e7b39,Towards Car-T Manufacturing,2015-09-17,IEEE TBME,Reports improvements in safety using ML optimisation.
paper_1ee42640c1,Benchmarking Single-Cell Multiomics,2024-07-12,J. Med. Chem.,Reports improvements in safety using closed-loop control.
paper_2575ee1d87,A study of Lab-On-A-Chip,2020-02-01,medRxiv,Reports improvements in stability using microfabrication.
paper_eaacb52104,Towards Bioreactor Control,2010-11-21,BioRxiv,Reports improvements in safety using ML optimisation.
paper_b9a9403e6d,A study of Solid-State Cooling,2022-08-17,Nature Communications,Reports improvements in throughput using ML optimisation.
paper_b0511b3585,Engineering Nanopore Sequencing,2021-01-15,J. Med. Chem.,Reports improvements in efficacy using novel reagent.
paper_672883e018,Engineering Wearable Health Sensors,2024-11-05,J. Med. Chem.,Reports improvements in yield using microfabrication.
paper_8e2bd5a299,Engineering Lab-On-A-Chip,2017-12-06,medRxiv,Reports improvements in stability using ML optimisation.
paper_a55cc41c1f,On Diagnostic Imaging,2020-09-01,Science Advances,Reports improvements in throughput using closed-loop control.
paper_5c0c6b7e7e,On Wearable Health Sensors,2011-09-16,BioRxiv,Reports improvements in efficacy using novel reagent.
paper_199b817fb7,Benchmarking Ai-Driven Medicinal Chemistry,2018-05-27,medRxiv,Reports improvements in efficacy using microfabrication.
paper_c3ccdae4df,Benchmarking Protein Engineering,2018-06-09,Science Advances,Reports improvements in efficacy using novel reagent.
paper_727a11e08b,On Battery Chemistry,2020-01-23,Sci Reports,Reports improvements in stability using ML optimisation.
paper_bba28a6f99,Towards Protein Engineering,2022-07-31,medRxiv,Reports improvements in stability using microfabrication.
paper_c024a567a9,Towards Gene Editing (Crispr),2023-10-12,Sci Reports,Reports improvements in stability using microfabrication.
paper_5cc6addecf,A study of Ultrafast Li-Ion Charging,2019-05-19,Sci Reports,Reports improvements in efficacy using closed-loop control.
paper_f134c6dbb9,Engineering Car-T Manufacturing,2021-09-30,Nature Communications,Reports improvements in throughput using closed-loop control.
paper_8c5440ff6c,On Wearable Health Sensors,2018-09-15,IEEE TBME,Reports improvements in yield using ML optimisation.
paper_6af2de0e34,Towards Microfluidics,2013-07-31,BioRxiv,Reports improvements in throughput using ML optimisation.
paper_e7c8deb5b8,A study of Wearable Health Sensors,2019-01-13,Nature Communications,Reports improvements in yield using microfabrication.
paper_1f3a6f1501,Towards Biosensors,2015-11-26,Sci Reports,Reports improvements in stability using closed-loop control.
paper_5906029911,A study of Ai-Driven Medicinal Chemistry,2021-03-14,BioRxiv,Reports improvements in efficacy using ML optimisation.
paper_7b8554a7c9,Benchmarking Bioprinting,2017-11-04,IEEE TBME,Reports improvements in throughput using novel reagent.
paper_95534cb59c,Benchmarking Diagnostic Imaging,2024-08-03,J. Med. Chem.,Reports improvements in stability using ML optimisation.
paper_1d4bdd614b,Benchmarking Bioreactor Control,2017-10-27,Science Advances,Reports improvements in throughput using novel reagent.
paper_dd19ab402f,Engineering Ultrafast Li-Ion Charging,2023-10-19,medRxiv,Reports improvements in yield using ML optimisation.
paper_12a21d65ee,Towards Microfluidics,2023-04-22,Science Advances,Reports improvements in efficacy using novel reagent.
paper_9d92595c02,On Diagnostic Imaging,2011-12-15,J. Med. Chem.,Reports improvements in throughput using novel reagent.
paper_18b7dc91d5,Engineering Mrna Therapeutics,2012-01-01,IEEE TBME,Reports improvements in safety using microfabrication.
paper_6da902476d,A study of Car-T Manufacturing,2013-06-27,Nature Communications,Reports improvements in yield using ML optimisation.
paper_ea730eca7f,Engineering Battery Chemistry,2025-07-06,Science Advances,Reports improvements in stability using novel reagent.
paper_06a97aece8,A study of Gene Editing (Crispr),2014-03-11,Science Advances,Reports improvements in yield using novel reagent.
paper_fd69359ad7,On Car-T Manufacturing,2012-03-16,BioRxiv,Reports improvements in safety using ML optimisation.
paper_00dde3ce28,Towards Protein Engineering,2025-10-19,Sci Reports,Reports improvements in throughput using novel reagent.
paper_a42beaf7ae,Benchmarking Photovoltaic Perovskites,2019-06-08,medRxiv,Reports improvements in efficacy using closed-loop control.
paper_0e4341709d,On Lab-On-A-Chip,2019-02-22,Science Advances,Reports improvements in yield using closed-loop control.
paper_ad9abca4d2,Benchmarking Diagnostic Imaging,2023-04-06,IEEE TBME,Reports improvements in throughput using ML optimisation.
paper_c7e9de0bc5,Towards Graphene Membranes,2024-04-26,medRxiv,Reports improvements in stability using novel reagent.
paper_f0132d10ea,Benchmarking Mrna Therapeutics,2010-05-12,J. Med. Chem.,Reports improvements in throughput using closed-loop control.
paper_a69b26f8cf,Towards Wearable Health Sensors,2016-04-18,medRxiv,Reports improvements in stability using novel reagent.
paper_3d3474f432,Benchmarking Mrna Therapeutics,2011-01-13,J. Med. Chem.,Reports improvements in efficacy using ML optimisation.
paper_710f49f439,Towards Bioprinting,2024-07-23,Science Advances,Reports improvements in efficacy using closed-loop control.
paper_24296df025,On Mrna Therapeutics,2020-11-02,Nature Communications,Reports improvements in safety using microfabrication.
paper_9fca588b97,Benchmarking Mrna Therapeutics,2023-02-10,J. Med. Chem.,Reports improvements in stability using microfabrication.
paper_a8b300b105,On Ai-Driven Medicinal Chemistry,2025-09-20,J. Med. Chem.,Reports improvements in yield using ML optimisation.
paper_02d6bcfce7,Benchmarking Bioprinting,2013-01-03,Sci Reports,Reports improvements in stability using closed-loop control.
paper_5f92f2c1b7,A study of Microfluidics,2021-06-07,J. Med. Chem.,Reports improvements in throughput using closed-loop control.
paper_6cea168415,On Solid-State Cooling,2012-12-19,IEEE TBME,Reports improvements in stability using microfabrication.
paper_6345127a38,A study of Protein Engineering,2024-11-10,IEEE TBME,Reports improvements in yield using closed-loop control.
paper_335502a1c8,Benchmarking Robotic Prosthetics,2020-08-19,IEEE TBME,Reports improvements in safety using closed-loop control.
paper_36712fadb6,Engineering Bioprinting,2018-11-16,medRxiv,Reports improvements in throughput using ML optimisation.
paper_dcff3bc1a2,On Wearable Health Sensors,2012-08-29,Science Advances,Reports improvements in yield using novel reagent.
paper_3ca7083524,Towards Gene Editing (Crispr),2015-04-08,Sci Reports,Reports improvements in yield using ML optimisation.
paper_430e7aa369,Benchmarking Gene Editing (Crispr),2023-01-15,Science Advances,Reports improvements in throughput using closed-loop control.
paper_5103adc46b,A study of Gene Editing (Crispr),2018-01-13,medRxiv,Reports improvements in stability using novel reagent.
paper_e6ee5c1cb3,Engineering Graphene Membranes,2014-08-16,BioRxiv,Reports improvements in stability using ML optimisation.
paper_fb907b4ee6,Engineering Nanopore Sequencing,2011-08-09,medRxiv,Reports improvements in stability using ML optimisation.
paper_6f74dfaf11,On Microfluidics,2015-05-26,J. Med. Chem.,Reports improvements in yield using ML optimisation.
paper_f825183c75,A study of Solid-State Cooling,2014-12-17,Sci Reports,Reports improvements in throughput using closed-loop control.
paper_893128663a,Towards Bioreactor Control,2021-10-19,medRxiv,Reports improvements in stability using microfabrication.
paper_8f1b292451,On Microfluidics,2019-04-30,J. Med. Chem.,Reports improvements in stability using closed-loop control.
paper_3c1ab7c17a,A study of Graphene Membranes,2025-07-23,Sci Reports,Reports improvements in yield using ML optimisation.
paper_33603c247d,Benchmarking Car-T Manufacturing,2022-11-03,medRxiv,Reports improvements in safety using ML optimisation.
paper_a4cdadc113,A study of Bioprinting,2010-01-13,IEEE TBME,Reports improvements in yield using microfabrication.
paper_877a3f513c,Engineering Bioprinting,2011-02-20,BioRxiv,Reports improvements in yield using microfabrication.
paper_0f5d1fa58e,A study of Mrna Therapeutics,2017-06-22,Sci Reports,Reports improvements in throughput using closed-loop control.
paper_803a0f2533,Benchmarking Robotic Prosthetics,2019-05-08,Sci Reports,Reports improvements in yield using microfabrication.
paper_654f27e3f1,Engineering Ai-Driven Medicinal Chemistry,2016-10-24,IEEE TBME,Reports improvements in stability using ML optimisation.
paper_41cc745bdf,A study of Bioreactor Control,2023-12-17,BioRxiv,Reports improvements in yield using microfabrication.
paper_27d5ee45ff,Towards Mrna Therapeutics,2025-09-01,J. Med. Chem.,Reports improvements in efficacy using closed-loop control.
paper_03585bf7d8,Engineering Wearable Health Sensors,2012-03-02,Nature Communications,Reports improvements in yield using ML optimisation.
paper_c71ad81303,On Solid-State Cooling,2016-03-11,Sci Reports,Reports improvements in throughput using ML optimisation.
paper_0e15f61ad7,A study of Graphene Membranes,2022-11-03,Sci Reports,Reports improvements in stability using ML optimisation.
paper_0bc7ce46bd,Benchmarking Protein Engineering,2016-08-06,IEEE TBME,Reports improvements in efficacy using microfabrication.
paper_dd90d60dd8,Benchmarking Ultrafast Li-Ion Charging,2016-12-22,IEEE TBME,Reports improvements in efficacy using ML optimisation.
paper_0a43019c62,Towards Diagnostic Imaging,2014-05-28,J. Med. Chem.,Reports improvements in throughput using closed-loop control.
paper_13718f5ce5,Engineering Bioreactor Control,2015-06-26,Nature Communications,Reports improvements in safety using novel reagent.
paper_d15eb47269,Towards Protein Engineering,2020-02-19,Sci Reports,Reports improvements in efficacy using novel reagent.
paper_f1c23fee0e,Engineering Nanopore Sequencing,2019-11-17,medRxiv,Reports improvements in safety using closed-loop control.
paper_fdeaa0f36e,A study of Solid-State Cooling,2015-05-08,Science Advances,Reports improvements in yield using novel reagent.
paper_89e9784577,Towards Bioprinting,2019-01-02,IEEE TBME,Reports improvements in yield using ML optimisation.
paper_2b7726cedb,Benchmarking Photovoltaic Perovskites,2012-03-18,BioRxiv,Reports improvements in yield using ML optimisation.
paper_4a340b59e2,Engineering Lab-On-A-Chip,2015-07-14,IEEE TBME,Reports improvements in efficacy using closed-loop control.
paper_97e0cb26ca,Towards Battery Chemistry,2024-06-16,BioRxiv,Reports improvements in efficacy using microfabrication.
paper_1f36996b72,A study of Car-T Manufacturing,2014-08-14,Sci Reports,Reports improvements in efficacy using novel reagent.
paper_fc51061201,Towards Ultrafast Li-Ion Charging,2011-11-28,J. Med. Chem.,Reports improvements in yield using novel reagent.
paper_361dbfe2a2,Benchmarking Diagnostic Imaging,2019-08-03,IEEE TBME,Reports improvements in yield using microfabrication.
paper_d29316c4a3,On Photovoltaic Perovskites,2025-12-12,Sci Reports,Reports improvements in throughput using microfabrication.
paper_4ff0a15e15,On Bioreactor Control,2014-11-24,Sci Reports,Reports improvements in efficacy using ML optimisation.
paper_3d594b48f3,A study of Bioprinting,2012-03-13,J. Med. Chem.,Reports improvements in stability using microfabrication.
paper_cb8300ad60,On Gene Editing (Crispr),2013-10-04,Sci Reports,Reports improvements in efficacy using novel reagent.
paper_9185959826,On Battery Chemistry,2022-02-17,medRxiv,Reports improvements in throughput using ML optimisation.
paper_1b6e8ad176,Engineering Mrna Therapeutics,2022-08-21,Science Advances,Reports improvements in efficacy using closed-loop control.
paper_38123a5361,A study of Microfluidics,2016-06-26,medRxiv,Reports improvements in throughput using closed-loop control.
paper_3e4f547f1e,Benchmarking Diagnostic Imaging,2016-05-01,Science Advances,Reports improvements in efficacy using microfabrication.
paper_5e46e70ebd,A study of Microfluidics,2018-11-22,IEEE TBME,Reports improvements in safety using microfabrication.
paper_cc58d3fda9,Engineering Robotic Prosthetics,2013-10-13,BioRxiv,Reports improvements in throughput using microfabrication.
paper_84a187c127,On Bioprinting,2015-12-23,Science Advances,Reports improvements in safety using ML optimisation.
paper_8605f4baaa,Towards Graphene Membranes,2015-02-24,Nature Communications,Reports improvements in stability using closed-loop control.
paper_7a6ba3de81,On Gene Editing (Crispr),2016-08-20,Nature Communications,Reports improvements in yield using microfabrication.
paper_12b584faca,Engineering Single-Cell Multiomics,2014-11-02,BioRxiv,Reports improvements in efficacy using novel reagent.
paper_1c20fbec2c,Towards Diagnostic Imaging,2019-01-08,Nature Communications,Reports improvements in efficacy using closed-loop control.
paper_2aef473686,Towards Diagnostic Imaging,2018-03-14,BioRxiv,Reports improvements in efficacy using microfabrication.
paper_1296829577,A study of Diagnostic Imaging,2011-02-05,J. Med. Chem.,Reports improvements in efficacy using ML optimisation.
paper_3e6babe4f6,A study of Biosensors,2019-07-22,IEEE TBME,Reports improvements in safety using ML optimisation.
paper_46fb8d0d56,Towards Ultrafast Li-Ion Charging,2021-03-18,BioRxiv,Reports improvements in efficacy using novel reagent.
paper_43f9a3f08b,On Photovoltaic Perovskites,2018-07-26,J. Med. Chem.,Reports improvements in stability using ML optimisation.
paper_9695be4c2f,Towards Solid-State Cooling,2019-12-18,J. Med. Chem.,Reports improvements in efficacy using ML optimisation.
paper_69d33aa29d,Towards Solid-State Cooling,2018-06-14,medRxiv,Reports improvements in yield using microfabrication.
paper_7b77373880,Benchmarking Ultrafast Li-Ion Charging,2018-05-13,J. Med. Chem.,Reports improvements in yield using closed-loop control.
paper_8a4a825d2c,Towards Lab-On-A-Chip,2014-11-28,IEEE TBME,Reports improvements in safety using novel reagent.
paper_5f3fd9aa73,Engineering Robotic Prosthetics,2017-07-13,Nature Communications,Reports improvements in stability using ML optimisation.
paper_279cb092a4,A study of Photovoltaic Perovskites,2019-08-29,medRxiv,Reports improvements in throughput using closed-loop control.
paper_0143a8da7d,A study of Bioreactor Control,2024-05-28,Science Advances,Reports improvements in yield using closed-loop control.
paper_2a0da4ce6d,A study of Protein Engineering,2023-06-15,Sci Reports,Reports improvements in throughput using novel reagent.
paper_d52676304d,Towards Bioreactor Control,2023-11-24,IEEE TBME,Reports improvements in safety using closed-loop control.
paper_f569bb36e2,Engineering Mrna Therapeutics,2012-02-22,Science Advances,Reports improvements in throughput using novel reagent.
paper_e6de7753b2,A study of Protein Engineering,2023-08-01,BioRxiv,Reports improvements in throughput using novel reagent.
paper_1adfa34191,On Wearable Health Sensors,2016-08-13,J. Med. Chem.,Reports improvements in efficacy using ML optimisation.
paper_c6fbb6009c,On Lab-On-A-Chip,2021-05-29,Sci Reports,Reports improvements in efficacy using closed-loop control.
paper_c1dd81820b,Engineering Lab-On-A-Chip,2012-01-17,Sci Reports,Reports improvements in safety using microfabrication.
paper_e942e621fa,Benchmarking Mrna Therapeutics,2025-09-27,IEEE TBME,Reports improvements in efficacy using closed-loop control.
paper_28f3a0a8ed,Engineering Ai-Driven Medicinal Chemistry,2017-02-06,BioRxiv,Reports improvements in stability using microfabrication.
paper_1fa0af746e,A study of Photovoltaic Perovskites,2021-02-07,J. Med. Chem.,Reports improvements in stability using closed-loop control.
paper_c002515f80,On Graphene Membranes,2019-11-07,IEEE TBME,Reports improvements in yield using novel reagent.
paper_d06422ea3f,Engineering Mrna Therapeutics,2018-10-11,IEEE TBME,Reports improvements in yield using microfabrication.
paper_af8cbed169,Engineering Mrna Therapeutics,2010-03-25,Science Advances,Reports improvements in safety using ML optimisation.
paper_3badfa5715,Towards Single-Cell Multiomics,2016-03-09,Sci Reports,Reports improvements in safety using novel reagent.
paper_2faabc275f,A study of Solid-State Cooling,2011-05-21,Nature Communications,Reports improvements in throughput using closed-loop control.
paper_aa06b18bf9,Towards Car-T Manufacturing,2019-06-20,medRxiv,Reports improvements in stability using novel reagent.
paper_09844d1ad8,Benchmarking Bioprinting,2024-01-21,Science Advances,Reports improvements in throughput using closed-loop control.
paper_f273723efc,On Wearable Health Sensors,2024-07-04,IEEE TBME,Reports improvements in efficacy using microfabrication.
paper_ab9cc3b1ad,Towards Battery Chemistry,2019-08-30,Sci Reports,Reports improvements in efficacy using ML optimisation.
paper_14a94d40e4,Engineering Photovoltaic Perovskites,2012-05-14,Sci Reports,Reports improvements in efficacy using closed-loop control.
paper_5897cf7ea5,On Robotic Prosthetics,2025-11-21,Science Advances,Reports improvements in stability using ML optimisation.
paper_ee511b832f,Towards Car-T Manufacturing,2012-07-01,IEEE TBME,Reports improvements in stability using closed-loop control.
paper_f6c0845509,Engineering Diagnostic Imaging,2025-04-23,J. Med. Chem.,Reports improvements in yield using novel reagent.
paper_3fb1cdc5cf,Towards Photovoltaic Perovskites,2024-07-11,Sci Reports,Reports improvements in yield using closed-loop control.
paper_6948095d69,Benchmarking Wearable Health Sensors,2018-09-01,medRxiv,Reports improvements in efficacy using microfabrication.
paper_0ca700989b,Benchmarking Graphene Membranes,2021-07-16,BioRxiv,Reports improvements in safety using novel reagent.
paper_02f84818dd,Towards Battery Chemistry,2025-03-30,Science Advances,Reports improvements in yield using novel reagent.
paper_2b88f0917c,Engineering Mrna Therapeutics,2014-05-01,Sci Reports,Reports improvements in throughput using novel reagent.
paper_589852c80a,Engineering Solid-State Cooling,2020-03-14,BioRxiv,Reports improvements in efficacy using microfabrication.
paper_d98a1d04a3,Engineering Microfluidics,2018-03-04,BioRxiv,Reports improvements in efficacy using microfabrication.
paper_d49e4bcab5,Benchmarking Single-Cell Multiomics,2012-01-29,J. Med. Chem.,Reports improvements in efficacy using ML optimisation.
paper_0e35859f91,Engineering Gene Editing (Crispr),2010-08-26,Science Advances,Reports improvements in yield using microfabrication.
paper_2815d8533e,Engineering Battery Chemistry,2015-07-19,Sci Reports,Reports improvements in safety using closed-loop control.
paper_9117aac848,Benchmarking Ai-Driven Medicinal Chemistry,2012-05-19,BioRxiv,Reports improvements in throughput using microfabrication.
paper_553ad706d8,Benchmarking Photovoltaic Perovskites,2021-03-10,Nature Communications,Reports improvements in throughput using closed-loop control.
paper_2599cf28b8,Engineering Gene Editing (Crispr),2018-03-19,J. Med. Chem.,Reports improvements in safety using ML optimisation.
paper_9243808df7,Engineering Biosensors,2013-06-21,Science Advances,Reports improvements in efficacy using novel reagent.
paper_5eee582bc7,Towards Ai-Driven Medicinal Chemistry,2020-09-15,Sci Reports,Reports improvements in yield using closed-loop control.
paper_f953fca077,Towards Bioreactor Control,2022-09-20,IEEE TBME,Reports improvements in safety using ML optimisation.
paper_8b6444f99f,Engineering Mrna Therapeutics,2011-01-03,Science Advances,Reports improvements in yield using closed-loop control.
paper_efe902128b,Towards Wearable Health Sensors,2023-11-14,J. Med. Chem.,Reports improvements in safety using ML optimisation.
paper_619844450f,Towards Biosensors,2021-01-23,medRxiv,Reports improvements in safety using novel reagent.
paper_8110663b18,A study of Photovoltaic Perovskites,2024-08-29,medRxiv,Reports improvements in safety using novel reagent.
paper_5bf5893adf,Engineering Car-T Manufacturing,2012-01-12,medRxiv,Reports improvements in efficacy using novel reagent.
paper_b9e7438e88,Benchmarking Single-Cell Multiomics,2012-09-04,medRxiv,Reports improvements in stability using novel reagent.
paper_07263de5b7,Engineering Protein Engineering,2010-08-10,J. Med. Chem.,Reports improvements in stability using closed-loop control.
paper_8ca4125460,On Nanopore Sequencing,2021-12-22,J. Med. Chem.,Reports improvements in safety using closed-loop control.
paper_3cf8439e45,Benchmarking Robotic Prosthetics,2021-01-09,J. Med. Chem.,Reports improvements in efficacy using novel reagent.
paper_b4606e1405,A study of Bioprinting,2010-09-28,medRxiv,Reports improvements in efficacy using novel reagent.
paper_f64a41f576,A study of Robotic Prosthetics,2016-12-30,BioRxiv,Reports improvements in yield using microfabrication.
paper_b88fa68d28,Towards Gene Editing (Crispr),2016-08-05,Science Advances,Reports improvements in safety using ML optimisation.
paper_e135f683de,Towards Robotic Prosthetics,2025-05-07,Sci Reports,Reports improvements in throughput using microfabrication.
paper_3cea155e14,On Robotic Prosthetics,2025-07-18,BioRxiv,Reports improvements in yield using microfabrication.
paper_e7718e0cea,Towards Ultrafast Li-Ion Charging,2014-02-18,J. Med. Chem.,Reports improvements in throughput using closed-loop control.
