patent_id,title,filing_date,assignee,abstract,claims
pat_d89751fd5f,Device for CAR-T manufacturing,2016-06-14,SpinOut Biotech,Claims a method improving yield using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ..."", ""Claim 10: composition ..."", ""Claim 11: control algorithm ...""]"
pat_fb8dff1f0b,Method for ultrafast Li-ion charging,2015-09-09,DeepMaterials Inc,Claims a controller improving throughput using ML control.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: control algorithm ..."", ""Claim 8: system integration ..."", ""Claim 9: system integration ..."", ""Claim 10: system integration ..."", ""Claim 11: system integration ...""]"
pat_eaf8e8992f,System for ultrafast Li-ion charging,2022-11-08,GlobalChem,Claims a novel apparatus improving stability using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: method step ..."", ""Claim 7: method step ...""]"
pat_e845b9f167,Composition for battery chemistry,2017-08-19,Univ. Tech Labs,Claims a composition improving selectivity using ML control.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: method step ..."", ""Claim 6: method step ..."", ""Claim 7: method step ..."", ""Claim 8: composition ..."", ""Claim 9: method step ..."", ""Claim 10: composition ..."", ""Claim 11: method step ...""]"
pat_e3cedd3df9,System for battery chemistry,2015-02-09,Univ. Tech Labs,Claims a method improving yield using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ...""]"
pat_92caadd5f0,Method for graphene membranes,2012-08-09,Independent Inventor,Claims a novel apparatus improving yield using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: method step ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: control algorithm ..."", ""Claim 7: method step ..."", ""Claim 8: control algorithm ..."", ""Claim 9: control algorithm ..."", ""Claim 10: control algorithm ..."", ""Claim 11: method step ...""]"
pat_bea8942ad0,Device for solid-state cooling,2020-04-21,MedDevice Corp,Claims a composition improving yield using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: method step ..."", ""Claim 7: system integration ..."", ""Claim 8: method step ..."", ""Claim 9: method step ..."", ""Claim 10: control algorithm ..."", ""Claim 11: system integration ..."", ""Claim 12: system integration ...""]"
pat_e63a7c9610,Method for microfluidics,2017-06-20,Univ. Tech Labs,Claims a method improving stability using ML control.,"[""Claim 1: method step ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: control algorithm ..."", ""Claim 9: composition ..."", ""Claim 10: composition ...""]"
pat_3149f7e3d8,Composition for biosensors,2014-05-12,OmicsCore SA,Claims a method improving stability using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ..."", ""Claim 10: system integration ...""]"
pat_bca7e0396a,Method for bioreactor control,2017-03-21,Univ. Tech Labs,Claims a method improving yield using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: system integration ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ...""]"
pat_8b62bc324c,Device for gene editing (CRISPR),2009-04-13,SpinOut Biotech,Claims a novel apparatus improving yield using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: method step ..."", ""Claim 9: system integration ..."", ""Claim 10: method step ..."", ""Claim 11: method step ...""]"
pat_16c2cfc25f,Composition for mRNA therapeutics,2018-12-14,SpinOut Biotech,Claims a controller improving stability using ML control.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: control algorithm ...""]"
pat_8844757934,System for protein engineering,2025-12-20,Independent Inventor,Claims a method improving stability using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: composition ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ..."", ""Claim 7: system integration ..."", ""Claim 8: method step ..."", ""Claim 9: system integration ...""]"
pat_38d997c3d9,Composition for diagnostic imaging,2021-04-08,SpinOut Biotech,Claims a controller improving stability using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: control algorithm ..."", ""Claim 8: control algorithm ..."", ""Claim 9: composition ..."", ""Claim 10: control algorithm ...""]"
pat_df2051c66a,Method for robotic prosthetics,2017-02-08,DeepMaterials Inc,Claims a novel apparatus improving yield using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ..."", ""Claim 10: method step ..."", ""Claim 11: control algorithm ..."", ""Claim 12: control algorithm ...""]"
pat_424e98c477,Method for bioreactor control,2025-02-23,SpinOut Biotech,Claims a controller improving yield using optimized buffer.,"[""Claim 1: control algorithm ..."", ""Claim 2: composition ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: composition ...""]"
pat_a078473ea4,Method for bioprinting,2023-02-12,Univ. Tech Labs,Claims a novel apparatus improving stability using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ...""]"
pat_39f46b60ec,Device for nanopore sequencing,2008-11-30,OmicsCore SA,Claims a composition improving selectivity using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: system integration ..."", ""Claim 8: control algorithm ..."", ""Claim 9: method step ..."", ""Claim 10: method step ..."", ""Claim 11: control algorithm ...""]"
pat_6993971607,Method for gene editing (CRISPR),2016-08-03,OmicsCore SA,Claims a novel apparatus improving stability using microchannels.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: method step ..."", ""Claim 4: method step ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ...""]"
pat_cb523f14fc,Device for diagnostic imaging,2018-12-13,SpinOut Biotech,Claims a novel apparatus improving stability using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: composition ..."", ""Claim 6: composition ...""]"
pat_367a0b70da,System for wearable health sensors,2018-05-08,MedDevice Corp,Claims a novel apparatus improving selectivity using optimized buffer.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ..."", ""Claim 6: system integration ..."", ""Claim 7: composition ...""]"
pat_d8e7c4d7d0,System for AI-driven medicinal chemistry,2008-09-20,MedDevice Corp,Claims a composition improving yield using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: control algorithm ..."", ""Claim 7: method step ..."", ""Claim 8: method step ...""]"
pat_9ec74e7dd0,System for diagnostic imaging,2019-03-28,SpinOut Biotech,Claims a method improving stability using ML control.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ..."", ""Claim 6: control algorithm ..."", ""Claim 7: system integration ..."", ""Claim 8: control algorithm ..."", ""Claim 9: system integration ..."", ""Claim 10: system integration ..."", ""Claim 11: system integration ..."", ""Claim 12: method step ...""]"
pat_3be4416e47,Composition for lab-on-a-chip,2023-08-22,OmicsCore SA,Claims a controller improving stability using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: system integration ..."", ""Claim 7: composition ..."", ""Claim 8: method step ..."", ""Claim 9: composition ...""]"
pat_d11b814489,System for microfluidics,2018-02-11,SpinOut Biotech,Claims a controller improving yield using ML control.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: method step ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: composition ...""]"
pat_0b4f9ae806,Method for graphene membranes,2023-09-15,OmicsCore SA,Claims a method improving yield using optimized buffer.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ...""]"
pat_ae38d826f0,Method for nanopore sequencing,2008-01-21,Independent Inventor,Claims a controller improving selectivity using nanoporous films.,"[""Claim 1: system integration ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ...""]"
pat_f70fbb3106,Device for gene editing (CRISPR),2024-11-03,SpinOut Biotech,Claims a method improving stability using microchannels.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: method step ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ...""]"
pat_c2565932c8,Composition for ultrafast Li-ion charging,2018-08-14,OmicsCore SA,Claims a novel apparatus improving throughput using optimized buffer.,"[""Claim 1: method step ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: control algorithm ..."", ""Claim 9: composition ..."", ""Claim 10: system integration ...""]"
pat_985dc484d3,Device for graphene membranes,2025-07-30,GlobalChem,Claims a novel apparatus improving selectivity using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: composition ...""]"
pat_1fab4afbc6,System for graphene membranes,2014-03-28,Independent Inventor,Claims a composition improving stability using optimized buffer.,"[""Claim 1: method step ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ...""]"
pat_959cda559f,Method for diagnostic imaging,2024-03-14,GlobalChem,Claims a controller improving throughput using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: control algorithm ..."", ""Claim 8: control algorithm ..."", ""Claim 9: composition ..."", ""Claim 10: control algorithm ..."", ""Claim 11: system integration ..."", ""Claim 12: control algorithm ...""]"
pat_c091411501,Device for CAR-T manufacturing,2015-11-22,MedDevice Corp,Claims a novel apparatus improving stability using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: system integration ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: control algorithm ..."", ""Claim 10: system integration ...""]"
pat_c8ba6a1939,Method for biosensors,2024-04-08,Univ. Tech Labs,Claims a controller improving selectivity using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: method step ..."", ""Claim 7: control algorithm ...""]"
pat_9824f8c320,Composition for wearable health sensors,2012-01-24,OmicsCore SA,Claims a novel apparatus improving selectivity using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: method step ...""]"
pat_2eb9b83a8d,Device for solid-state cooling,2015-10-26,GlobalChem,Claims a controller improving selectivity using ML control.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ..."", ""Claim 10: system integration ..."", ""Claim 11: control algorithm ...""]"
pat_70a15b8478,Device for bioreactor control,2025-10-06,DeepMaterials Inc,Claims a method improving throughput using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ...""]"
pat_662a2abc16,System for CAR-T manufacturing,2013-06-20,Independent Inventor,Claims a composition improving stability using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: control algorithm ..."", ""Claim 8: control algorithm ..."", ""Claim 9: composition ...""]"
pat_e599fc326e,System for bioreactor control,2024-01-14,Univ. Tech Labs,Claims a controller improving selectivity using ML control.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: method step ..."", ""Claim 10: control algorithm ..."", ""Claim 11: control algorithm ...""]"
pat_b79a574074,Method for mRNA therapeutics,2023-11-24,OmicsCore SA,Claims a composition improving yield using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ...""]"
pat_db268d4320,Device for CAR-T manufacturing,2011-03-10,Independent Inventor,Claims a composition improving selectivity using optimized buffer.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: control algorithm ..."", ""Claim 9: method step ..."", ""Claim 10: composition ...""]"
pat_392aee7beb,Device for photovoltaic perovskites,2013-05-21,OmicsCore SA,Claims a method improving selectivity using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ...""]"
pat_ffa2af5925,System for gene editing (CRISPR),2023-06-11,GlobalChem,Claims a composition improving stability using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: control algorithm ...""]"
pat_073476b566,Device for photovoltaic perovskites,2012-04-05,OmicsCore SA,Claims a novel apparatus improving selectivity using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ..."", ""Claim 10: control algorithm ...""]"
pat_bd772b45a5,Method for lab-on-a-chip,2012-03-16,DeepMaterials Inc,Claims a method improving stability using microchannels.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: system integration ..."", ""Claim 7: system integration ..."", ""Claim 8: control algorithm ..."", ""Claim 9: control algorithm ...""]"
pat_67822b2277,Composition for diagnostic imaging,2025-12-23,SpinOut Biotech,Claims a method improving selectivity using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: system integration ..."", ""Claim 3: method step ..."", ""Claim 4: method step ..."", ""Claim 5: system integration ..."", ""Claim 6: method step ..."", ""Claim 7: composition ..."", ""Claim 8: control algorithm ..."", ""Claim 9: system integration ..."", ""Claim 10: method step ..."", ""Claim 11: composition ..."", ""Claim 12: system integration ...""]"
pat_ea2d0989a2,Composition for biosensors,2015-07-10,Independent Inventor,Claims a method improving throughput using ML control.,"[""Claim 1: method step ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: system integration ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ...""]"
pat_5a5ed6883a,System for ultrafast Li-ion charging,2025-11-01,Independent Inventor,Claims a controller improving stability using optimized buffer.,"[""Claim 1: control algorithm ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: system integration ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ..."", ""Claim 11: method step ..."", ""Claim 12: control algorithm ...""]"
pat_d60f04097c,Device for gene editing (CRISPR),2017-05-16,DeepMaterials Inc,Claims a novel apparatus improving yield using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: composition ..."", ""Claim 8: method step ..."", ""Claim 9: composition ..."", ""Claim 10: composition ..."", ""Claim 11: system integration ..."", ""Claim 12: system integration ...""]"
pat_d49113dc24,System for nanopore sequencing,2009-07-25,Independent Inventor,Claims a controller improving throughput using ML control.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: system integration ...""]"
pat_8a5edcd957,Device for AI-driven medicinal chemistry,2009-11-12,Univ. Tech Labs,Claims a novel apparatus improving throughput using nanoporous films.,"[""Claim 1: system integration ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: control algorithm ..."", ""Claim 8: control algorithm ..."", ""Claim 9: method step ...""]"
pat_45f8caa356,Method for wearable health sensors,2016-05-26,DeepMaterials Inc,Claims a novel apparatus improving selectivity using ML control.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: method step ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ...""]"
pat_8cc810e2c2,Composition for single-cell multiomics,2018-08-30,GlobalChem,Claims a method improving throughput using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: method step ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ...""]"
pat_5546d062d9,Composition for microfluidics,2020-12-16,Univ. Tech Labs,Claims a novel apparatus improving stability using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: method step ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: composition ...""]"
pat_dc5948b7f6,Method for gene editing (CRISPR),2016-04-04,SpinOut Biotech,Claims a controller improving selectivity using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: system integration ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ...""]"
pat_89facdad34,Device for gene editing (CRISPR),2008-11-10,MedDevice Corp,Claims a novel apparatus improving stability using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ...""]"
pat_0d381d3a8f,System for ultrafast Li-ion charging,2012-03-29,DeepMaterials Inc,Claims a method improving throughput using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ...""]"
pat_e63c233b22,Composition for mRNA therapeutics,2022-07-27,Independent Inventor,Claims a controller improving yield using ML control.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: composition ...""]"
