entity_id,name,type,country
ent_052d63b664,AgriCorp 35,university,US
ent_c4f2da6226,BatterySolutions 369,university,FI
ent_c666d7dcd5,OmicsCore 655,startup,US
ent_376a220826,TheraWorks 757,startup,US
ent_fd10d185ca,TheraWorks 425,company,PT
ent_0dbf833f58,GeneWorks 943,startup,ES
ent_4eaa6d410b,OmicsCore 618,lab,FI
ent_320efd84ec,PharmaCo 105,company,SE
ent_71d39fa124,PharmaCo 210,consortium,IT
ent_517aa9f4eb,NanoTech EU 199,startup,PT
ent_9a194eacbd,OmicsCore 988,consortium,IT
ent_856896ecae,BatterySolutions 686,startup,PT
ent_7db457146c,BatterySolutions 204,consortium,ES
ent_8ec6d12fb9,MicroFab Labs 432,lab,DE
ent_58895333b0,PharmaCo 941,company,UK
ent_42568a692c,MedDevicesLtd 451,consortium,PT
ent_22a1c50189,NanoTech EU 251,consortium,FI
ent_4e8b785737,MedDevicesLtd 832,company,SE
ent_40504812d6,TheraWorks 850,startup,US
ent_973bdad3fd,TheraWorks 214,consortium,PT
ent_8f625afb37,BatterySolutions 365,university,SE
ent_12e7caaeef,TheraWorks 880,consortium,PT
ent_3890964587,MicroFab Labs 19,startup,FI
ent_f9bcae5ecb,TheraWorks 145,consortium,UK
ent_81b4b3a361,BatterySolutions 440,university,US
ent_fb945e80d7,BatterySolutions 112,lab,FI
ent_eaff911603,TheraWorks 449,startup,DE
ent_57571eb7d4,BatterySolutions 888,university,DE
ent_03c3a30aa1,GeneWorks 547,company,SE
ent_c2f0469b6c,TheraWorks 780,lab,UK
ent_27a33bc19c,GeneWorks 167,consortium,SE
ent_913ab9c0e2,PharmaCo 480,consortium,ES
ent_d63eb0d51c,PharmaCo 291,startup,NL
ent_0a1b2891df,BatterySolutions 749,startup,SE
ent_c615cb8ff6,BioPlatform SA 972,lab,FR
ent_9323163bac,GeneWorks 303,university,IT
ent_932323700b,BioPlatform SA 389,lab,NL
ent_2fa2328a4e,MicroFab Labs 854,company,ES
ent_2d5b5e2be6,GeneWorks 978,consortium,FR
ent_4a9c563b68,OmicsCore 771,company,SE
ent_5786d4eedc,PharmaCo 986,company,UK
ent_41f2edcfc2,PharmaCo 625,consortium,UK
ent_b1fb9c8d7d,BioPlatform SA 32,startup,PT
ent_fecd27a9c9,BioPlatform SA 211,university,FR
ent_6209e152b1,BatterySolutions 514,lab,US
ent_2937dac505,NanoTech EU 742,company,US
ent_5b28aadf63,BatterySolutions 652,lab,NL
ent_6094a2d775,NanoTech EU 346,university,FI
ent_419437bcb5,AgriCorp 235,consortium,FR
ent_115afd37d1,AgriCorp 683,startup,FR
ent_5120fb0557,NanoTech EU 664,company,PT
ent_ff5ec9f4f4,MedDevicesLtd 103,startup,IT
ent_41ea733a2c,MedDevicesLtd 801,university,FR
ent_437d99fadc,NanoTech EU 863,company,IT
ent_50879df156,BioPlatform SA 362,company,SE
ent_f703a20ca3,OmicsCore 654,startup,FR
ent_40e67460a9,BioPlatform SA 762,university,FR
ent_9bfa634951,AgriCorp 724,consortium,UK
ent_caec8c7451,MedDevicesLtd 153,university,IT
ent_240a5c973c,BatterySolutions 196,consortium,US
ent_c4ef72ef84,GeneWorks 505,consortium,DE
ent_d41563956b,BioPlatform SA 611,company,DE
ent_863842c884,MicroFab Labs 949,lab,ES
ent_8acddf521c,OmicsCore 166,company,US
ent_6a280591ab,BioPlatform SA 729,startup,FI
ent_b98912f5da,MedDevicesLtd 940,company,NL
ent_e36ed2b748,BioPlatform SA 246,lab,SE
ent_02855e3f02,TheraWorks 228,company,US
ent_b4c8a84e56,NanoTech EU 946,startup,US
ent_a29776ae99,OmicsCore 78,university,NL
ent_6c8c84d88b,PharmaCo 762,university,FI
ent_fb7cc4f0dc,BatterySolutions 981,university,US
ent_a211996e2f,GeneWorks 588,lab,NL
ent_6c1b6e2a53,MedDevicesLtd 452,startup,UK
ent_c2686710b6,TheraWorks 293,lab,SE
ent_6fe6ecd93d,GeneWorks 831,company,ES
ent_ba29968bcc,BatterySolutions 983,lab,US
ent_bfc11cd356,BioPlatform SA 219,startup,FR
ent_4c83476b48,PharmaCo 260,company,ES
ent_fc1bcb4138,AgriCorp 788,startup,SE
ent_2cbb661fe1,BioPlatform SA 347,consortium,ES
ent_fd7c493ffa,GeneWorks 640,startup,ES
ent_7fc810c77b,GeneWorks 473,university,IT
ent_5fe4e2b9f8,PharmaCo 725,company,FR
ent_9f55e249f0,BioPlatform SA 674,lab,IT
ent_1a46a378f0,BioPlatform SA 782,startup,FR
ent_b536a8f37c,PharmaCo 451,consortium,PT
ent_3258fb3b37,GeneWorks 592,company,FI
ent_0d7bf2076b,NanoTech EU 581,company,UK
ent_3d678d575e,BioPlatform SA 915,university,UK
ent_3aa48bdef8,TheraWorks 100,startup,NL
ent_9e997a9d42,NanoTech EU 940,university,US
ent_6e4074fcd3,NanoTech EU 417,company,NL
ent_299dc50c47,PharmaCo 468,startup,DE
ent_ed9323f6f6,TheraWorks 462,company,NL
ent_f58e20151a,MicroFab Labs 821,lab,IT
ent_b2690d0852,NanoTech EU 713,university,DE
ent_e388dec014,BatterySolutions 221,lab,NL
ent_62644b944d,BatterySolutions 342,university,ES
ent_d8c3de328e,BioPlatform SA 18,lab,PT
ent_912c4d6918,NanoTech EU 712,company,PT
ent_3f3d817115,NanoTech EU 315,consortium,IT
ent_16c8cbfa8b,MicroFab Labs 636,consortium,DE
ent_3c79ad2dce,AgriCorp 153,lab,PT
ent_3d3b328b12,MicroFab Labs 924,university,FR
ent_c75a966b0a,BatterySolutions 811,company,FR
ent_0f42980d01,NanoTech EU 117,startup,FI
ent_76836b3799,MicroFab Labs 803,lab,FI
ent_c5cbb18278,PharmaCo 944,consortium,FR
ent_3b8cad98fc,AgriCorp 329,startup,UK
ent_69eaa33e93,MicroFab Labs 262,lab,US
ent_f5ee5bc38e,OmicsCore 516,university,PT
ent_e9181d3391,MicroFab Labs 381,university,IT
ent_2a4f1b3cbc,GeneWorks 212,consortium,NL
ent_fd48159099,TheraWorks 857,startup,FI
ent_349708904c,MedDevicesLtd 75,university,NL
ent_895ab3282b,PharmaCo 808,consortium,SE
ent_a9691856cb,AgriCorp 157,lab,SE
ent_2c440ba355,OmicsCore 2,company,PT
ent_fcef1f5070,MedDevicesLtd 917,university,FI
ent_dcccade6dc,GeneWorks 541,company,NL
ent_83f843d983,MedDevicesLtd 613,lab,US
ent_8e266d9549,MicroFab Labs 933,lab,DE
ent_2cc5ab4094,NanoTech EU 89,university,PT
ent_c6a44f7046,BioPlatform SA 810,company,SE
ent_4943e2103f,PharmaCo 750,startup,SE
ent_e0a061c1da,GeneWorks 509,lab,DE
ent_c81dc99b62,MedDevicesLtd 653,startup,SE
ent_edbcf2f674,AgriCorp 232,university,FR
ent_d80f391936,GeneWorks 420,company,PT
ent_681294f93e,PharmaCo 407,university,NL
ent_35e99b0eac,OmicsCore 988,startup,UK
ent_9e0f880067,BatterySolutions 539,company,NL
ent_041fa3f41a,MicroFab Labs 233,lab,FI
ent_aea34b7886,AgriCorp 709,consortium,IT
ent_968f8ab4ee,OmicsCore 843,lab,SE
ent_ee756c0d8a,BatterySolutions 826,startup,SE
ent_e242ef9d47,GeneWorks 580,university,US
ent_33f02304ca,PharmaCo 320,consortium,UK
ent_980eaef611,AgriCorp 708,university,FR
ent_42b9012360,MicroFab Labs 125,university,UK
ent_6b78e55f4d,NanoTech EU 713,lab,SE
ent_83b54d668b,GeneWorks 19,company,IT
ent_e15d7e9b23,PharmaCo 227,startup,PT
ent_136920866c,AgriCorp 913,consortium,SE
ent_fd1f3b7dac,TheraWorks 8,startup,SE
ent_f8b2e5d106,MicroFab Labs 711,university,NL
ent_8d91166448,MicroFab Labs 113,consortium,UK
ent_953f6cf7ca,TheraWorks 795,consortium,SE
ent_3b9c7beaa1,BioPlatform SA 521,company,UK
ent_9c06baeeb1,BioPlatform SA 80,university,UK
ent_ed81906c87,OmicsCore 372,company,FR
ent_7deb12d99a,BioPlatform SA 342,company,IT
ent_bd95db9ff1,MedDevicesLtd 866,lab,IT
ent_2f1538a628,NanoTech EU 965,consortium,PT
ent_88ea2d2f76,BioPlatform SA 864,consortium,FI
ent_254c61751a,NanoTech EU 21,consortium,SE
ent_3fbd4e169c,GeneWorks 531,startup,DE
ent_f11c7e32b8,MicroFab Labs 16,university,NL
ent_256368e3c1,MicroFab Labs 9,consortium,FI
ent_39a44226d6,MicroFab Labs 633,company,DE
ent_cb11d417c7,OmicsCore 337,company,UK
ent_2ce3ed3df1,GeneWorks 43,startup,NL
ent_a101382c65,BatterySolutions 145,consortium,IT
ent_3a2c4384c9,NanoTech EU 473,university,SE
ent_b34cded68a,AgriCorp 127,lab,DE
ent_acce0ffd2e,PharmaCo 734,university,SE
ent_a5a993b300,BioPlatform SA 201,lab,US
ent_52a27e2a2c,TheraWorks 458,startup,FI
ent_cbb7c2c054,NanoTech EU 798,university,FR
ent_39a15fc4fb,BatterySolutions 850,consortium,UK
ent_0d67f3f8ac,GeneWorks 281,lab,FR
ent_9227a2ed44,MedDevicesLtd 728,consortium,ES
ent_0c882af594,MicroFab Labs 945,consortium,ES
ent_2474ff9a00,MedDevicesLtd 627,lab,ES
ent_4b1b8b27c9,BioPlatform SA 877,university,US
ent_46a8d6bb49,MicroFab Labs 853,company,FR
ent_784945645d,TheraWorks 762,startup,FR
ent_b3acfc66c3,OmicsCore 838,lab,ES
ent_84f2769fe0,NanoTech EU 630,startup,DE
ent_05e9d7984f,PharmaCo 18,startup,PT
ent_b0db0a58cb,GeneWorks 129,company,NL
ent_f8ede8da28,AgriCorp 711,university,ES
ent_a57c8f9cf9,TheraWorks 708,company,PT
ent_4c36762c9f,OmicsCore 966,university,NL
ent_a4b8cdd7a5,GeneWorks 894,startup,UK
ent_8e31067e17,MedDevicesLtd 707,consortium,US
ent_675411cea1,MicroFab Labs 195,lab,FR
ent_2b785416fe,PharmaCo 391,university,FR
ent_1b0797060e,PharmaCo 922,startup,UK
ent_eb9aa53ef6,AgriCorp 790,university,UK
ent_467a70aaf9,GeneWorks 606,lab,FR
ent_142da98790,AgriCorp 996,lab,IT
ent_6a0ecd166b,GeneWorks 297,university,US
ent_06c7b243f6,TheraWorks 200,company,PT
ent_5cd71f12b2,AgriCorp 644,lab,DE
ent_f89db481f7,BioPlatform SA 129,company,FI
ent_b13b608279,GeneWorks 895,startup,FR
ent_0b35657fc3,TheraWorks 849,company,FI
ent_e8412b1938,NanoTech EU 576,lab,NL
ent_245d346be0,BioPlatform SA 962,startup,US
ent_e3a35a7ff4,MedDevicesLtd 155,company,ES
ent_e0c908b17b,BatterySolutions 863,university,ES
ent_da0150f00d,NanoTech EU 3,lab,UK
ent_f19755bd15,BioPlatform SA 325,startup,PT
ent_27fe91de54,PharmaCo 356,university,FI
ent_e400809afe,GeneWorks 945,company,FI
ent_b9e6a52290,MicroFab Labs 311,startup,US
ent_7cbfbd3d92,AgriCorp 133,university,SE
ent_7b6089363f,BioPlatform SA 320,consortium,IT
ent_01ac8d975d,AgriCorp 482,lab,DE
ent_c0d2cfa0a2,PharmaCo 452,company,US
ent_8501dd737c,BatterySolutions 858,consortium,DE
ent_7dafa3ab97,GeneWorks 200,startup,ES
ent_347f1306c3,TheraWorks 48,company,FI
ent_891139c4f5,TheraWorks 46,lab,NL
ent_ac31a721b7,MicroFab Labs 541,company,FI
ent_0c38486a16,BioPlatform SA 47,consortium,FR
ent_8ca62554d6,NanoTech EU 951,startup,US
ent_74b17374cb,PharmaCo 630,lab,SE
ent_53207a654b,AgriCorp 203,company,SE
ent_f21070eb01,AgriCorp 291,lab,ES
ent_4b5eed0962,NanoTech EU 668,company,SE
ent_02a9a4d56c,MedDevicesLtd 995,startup,SE
ent_f3379a04d7,MicroFab Labs 440,university,FI
ent_62c9d44b32,MedDevicesLtd 562,university,NL
ent_947f560831,PharmaCo 267,startup,UK
ent_f8ed2033f1,PharmaCo 801,company,UK
ent_3afd1083fb,PharmaCo 996,company,PT
ent_242413b59f,MicroFab Labs 210,consortium,FR
ent_58e6e298b2,NanoTech EU 304,university,PT
ent_66c60916f2,BioPlatform SA 797,startup,FR
ent_a264c807f7,PharmaCo 245,consortium,IT
ent_46fcc6bbf3,GeneWorks 702,lab,UK
ent_88335c4f12,NanoTech EU 733,consortium,DE
ent_cc9e446ab4,MicroFab Labs 440,startup,IT
ent_1e91655df2,BioPlatform SA 923,company,UK
ent_1d71e9dd48,TheraWorks 897,consortium,FI
ent_fe9b8bcb3f,NanoTech EU 583,university,IT
ent_43cee3f2e5,AgriCorp 778,lab,IT
ent_5fbad50638,GeneWorks 432,lab,IT
ent_79fedfb92c,AgriCorp 105,company,IT
ent_3cae3ddf10,TheraWorks 734,consortium,FR
ent_33547dbe3e,GeneWorks 286,company,US
ent_057301c384,OmicsCore 944,company,FR
ent_e464d611a5,MedDevicesLtd 814,lab,ES
ent_fcc0d83774,NanoTech EU 487,consortium,SE
ent_c80d5388b6,MedDevicesLtd 83,company,DE
ent_af94337dea,BioPlatform SA 877,consortium,UK
ent_39b18491f9,MicroFab Labs 377,consortium,IT
ent_212ecd5836,BioPlatform SA 169,consortium,DE
ent_57c171e183,BatterySolutions 671,lab,FI
ent_168e93f202,TheraWorks 867,consortium,NL
ent_8dbae184c5,BioPlatform SA 952,university,IT
ent_cddc1d8da6,MedDevicesLtd 86,lab,PT
ent_937d1cd9b8,MicroFab Labs 51,university,UK
ent_9e35a6b24f,BatterySolutions 240,consortium,FI
ent_eac05514d6,AgriCorp 816,startup,SE
ent_03d0f79227,BatterySolutions 388,company,UK
ent_053de09cee,MedDevicesLtd 139,consortium,UK
ent_24663691fb,MedDevicesLtd 881,startup,SE
ent_d671a7adfc,TheraWorks 425,startup,NL
ent_e6c3ce8e81,PharmaCo 759,startup,US
ent_35cb373249,OmicsCore 157,consortium,IT
ent_cf9902e050,BatterySolutions 6,lab,IT
ent_b7d4bc8299,BioPlatform SA 530,university,DE
ent_53d165c6a9,MicroFab Labs 266,startup,IT
ent_499ca608bf,BatterySolutions 549,lab,US
ent_493a800754,MicroFab Labs 994,consortium,UK
ent_fe0f2899ab,TheraWorks 375,university,SE
ent_fc2252273a,NanoTech EU 964,consortium,FR
ent_0ca43f1736,OmicsCore 42,university,IT
ent_124a3a130e,PharmaCo 299,company,DE
ent_6fdc98f5f5,PharmaCo 657,consortium,NL
ent_14f0a41d58,AgriCorp 278,lab,IT
ent_f0d8b7ef4b,GeneWorks 391,lab,PT
ent_dbbbd6c54b,PharmaCo 523,consortium,FR
ent_92e0f8c368,AgriCorp 583,lab,ES
ent_87368c0625,TheraWorks 318,university,FI
ent_ffb4dd6495,PharmaCo 293,lab,ES
ent_2aeb47aa33,PharmaCo 874,lab,ES
ent_543556010c,OmicsCore 330,startup,UK
ent_d389fc670d,BioPlatform SA 933,startup,FR
ent_c4377248e6,BatterySolutions 543,lab,NL
ent_280a3c0054,PharmaCo 146,consortium,UK
ent_03faa028c4,TheraWorks 467,lab,NL
ent_2cd092c392,NanoTech EU 785,consortium,US
ent_5f992ef65d,MicroFab Labs 601,startup,FI
ent_89c9d1d9b6,PharmaCo 199,university,SE
ent_78092d08e1,TheraWorks 402,lab,PT
ent_5715c7ed8f,GeneWorks 818,company,DE
ent_a9685cae8b,TheraWorks 375,university,ES
ent_47b7b11b0f,TheraWorks 170,university,SE
ent_8621dfe6c2,AgriCorp 654,company,DE
ent_def1db757f,MedDevicesLtd 369,startup,FR
ent_df44d376ba,OmicsCore 541,university,PT
ent_8da2893f22,BatterySolutions 954,university,US
ent_17a0c10ab0,OmicsCore 570,lab,FR
ent_75eac3562d,NanoTech EU 24,lab,ES
ent_f64efb93c9,GeneWorks 29,consortium,FI
ent_73a83afb00,NanoTech EU 459,university,DE
ent_71105e36cd,OmicsCore 822,university,FR
ent_c260d1619d,BioPlatform SA 744,lab,NL
ent_c0282a1310,BatterySolutions 493,consortium,SE
ent_b0e980c2b2,BatterySolutions 175,university,DE
ent_b2c94255a7,MicroFab Labs 907,lab,UK
ent_fd95bacdc6,BioPlatform SA 120,company,NL
ent_20d09f67e6,AgriCorp 995,university,ES
ent_7a2b5c5460,PharmaCo 999,startup,DE
ent_b2c0d12be6,BatterySolutions 546,company,SE
ent_1b7b05399b,BioPlatform SA 108,startup,ES
ent_253e65557e,MicroFab Labs 542,consortium,UK
ent_0d2ba1bafb,TheraWorks 697,startup,US
ent_74a53e86eb,OmicsCore 337,university,SE
ent_8bad810f64,TheraWorks 120,lab,DE
ent_6ce01f773c,MedDevicesLtd 699,university,US
ent_e87ee49d6e,MedDevicesLtd 49,consortium,ES
ent_7ff34a1996,NanoTech EU 822,startup,US
ent_d55d96fd76,BatterySolutions 842,startup,US
ent_21c399a167,AgriCorp 18,startup,DE
ent_92919315eb,AgriCorp 587,company,FI
ent_dd9492e10f,PharmaCo 584,company,DE
ent_84390e8614,MicroFab Labs 602,lab,DE
ent_1e7274e15d,MicroFab Labs 747,lab,NL
ent_6f9aa052a2,MicroFab Labs 232,lab,FI
ent_39ef9c46b3,MicroFab Labs 956,university,PT
ent_40dee3393a,BioPlatform SA 590,startup,UK
ent_a0463f6ea6,MicroFab Labs 684,lab,UK
ent_08a0d490d9,BatterySolutions 75,startup,IT
ent_5c36f43dcc,AgriCorp 995,university,DE
ent_4bea690298,TheraWorks 245,company,FR
ent_7843c1fc8d,GeneWorks 525,company,US
ent_8d0fcbc747,PharmaCo 207,startup,IT
ent_7bae81c99c,PharmaCo 361,consortium,FI
ent_54640e8436,GeneWorks 496,startup,FR
ent_bb2a95bda8,OmicsCore 131,lab,US
ent_bb4b689422,NanoTech EU 674,startup,DE
ent_a9f4865905,MedDevicesLtd 618,company,FR
ent_6db5f0dae6,OmicsCore 842,startup,US
ent_03773485f7,NanoTech EU 180,lab,ES
ent_4510d38ea6,AgriCorp 583,lab,FR
ent_d494249713,TheraWorks 679,university,ES
ent_d17422237c,MicroFab Labs 818,consortium,FR
ent_423d0cfa32,OmicsCore 271,startup,IT
ent_d933cf08ce,BioPlatform SA 938,startup,NL
ent_5d220d2515,OmicsCore 807,startup,UK
ent_eec8e0abe4,NanoTech EU 357,consortium,FI
ent_b7a15ccf15,BioPlatform SA 383,startup,PT
ent_c357da44f5,TheraWorks 57,consortium,FI
ent_c116b43964,NanoTech EU 695,university,DE
ent_8cecd05ea1,AgriCorp 27,startup,NL
ent_7400d73b08,PharmaCo 198,university,NL
ent_8b1d627b05,BioPlatform SA 729,startup,DE
ent_6ca5093909,GeneWorks 309,startup,UK
ent_81f4d4c328,BatterySolutions 655,university,SE
ent_2a82b4ecc0,MicroFab Labs 478,lab,PT
ent_1937f9e6b6,AgriCorp 855,consortium,PT
ent_6e5f1adb17,BioPlatform SA 813,consortium,FI
ent_78471801c5,NanoTech EU 285,company,DE
ent_415fa58a22,MedDevicesLtd 577,consortium,ES
ent_eaf0965eb6,AgriCorp 49,lab,IT
ent_7209e807f3,AgriCorp 890,startup,IT
ent_f29f742e58,BatterySolutions 430,consortium,PT
ent_d1c3b86cbb,PharmaCo 911,consortium,DE
ent_4e3de94a85,OmicsCore 623,university,UK
ent_20d037941b,NanoTech EU 214,company,US
ent_2908414142,BatterySolutions 766,company,UK
ent_1f526a69e4,OmicsCore 386,company,ES
ent_5b574340fd,BioPlatform SA 35,startup,SE
ent_4f638fb026,OmicsCore 29,consortium,IT
ent_a9d7c382c8,MedDevicesLtd 358,lab,SE
ent_cb782406f5,NanoTech EU 432,company,ES
ent_51d7b92ed5,PharmaCo 622,lab,FR
ent_0bbef60cf2,OmicsCore 662,consortium,NL
ent_a9183d7ebc,BioPlatform SA 96,university,FR
ent_a9c5e34263,TheraWorks 287,university,US
ent_74f9687c10,MicroFab Labs 999,lab,ES
ent_cdf0ca8d9d,BioPlatform SA 475,university,UK
ent_25d070e756,MedDevicesLtd 559,lab,UK
ent_130568d80c,GeneWorks 346,lab,FR
ent_98b1743115,AgriCorp 264,startup,SE
ent_a50b3cba31,MedDevicesLtd 229,consortium,NL
ent_db9482d083,NanoTech EU 417,startup,FR
ent_fc9b2333da,BioPlatform SA 875,lab,PT
ent_5bbfdfb50f,AgriCorp 24,startup,ES
ent_4c7f88a1cc,MedDevicesLtd 255,startup,FR
ent_fd827ab264,MicroFab Labs 760,lab,IT
ent_58a1869391,PharmaCo 835,lab,FR
ent_5c1d94a642,BioPlatform SA 948,company,ES
ent_f271817ea4,MedDevicesLtd 357,consortium,IT
ent_999cf00004,BioPlatform SA 304,company,SE
ent_3cf5d07cd3,MedDevicesLtd 871,university,ES
ent_351d923251,MedDevicesLtd 552,university,IT
ent_d90aff0537,TheraWorks 16,lab,NL
ent_a83c430866,BatterySolutions 477,consortium,US
ent_13caff20f8,BatterySolutions 256,university,FR
ent_690612885f,MicroFab Labs 406,startup,UK
ent_e7b5655818,TheraWorks 78,company,NL
ent_0faf183a80,OmicsCore 853,consortium,PT
ent_998b47224f,BioPlatform SA 561,startup,DE
ent_91d7d62eca,AgriCorp 775,consortium,IT
ent_d0f37c9d5f,AgriCorp 574,consortium,FI
ent_6e7f181b65,OmicsCore 222,company,SE
ent_11e5fdee56,AgriCorp 395,consortium,PT
ent_690af4c0e4,TheraWorks 302,company,PT
ent_abd4b3aaa8,TheraWorks 117,company,IT
ent_08571f27eb,AgriCorp 311,university,NL
ent_24c2f17191,TheraWorks 130,university,FR
ent_ddd2bfbee6,MicroFab Labs 133,university,DE
ent_cf435d1ea8,PharmaCo 84,lab,DE
ent_ffec2a5115,BioPlatform SA 364,lab,US
ent_2602814c2f,BatterySolutions 681,startup,SE
ent_62a617a48a,MedDevicesLtd 179,lab,IT
ent_286cd662f3,BatterySolutions 908,company,IT
ent_1661ed43ef,BatterySolutions 909,consortium,ES
ent_3e19033bfe,NanoTech EU 516,company,PT
ent_232184fff3,TheraWorks 704,company,IT
ent_0eee41bf7f,TheraWorks 230,university,DE
ent_1645689da4,TheraWorks 470,startup,FR
ent_8f185301b7,NanoTech EU 426,company,IT
ent_f5e0b82704,AgriCorp 284,consortium,FI
ent_bb2a2039d6,AgriCorp 384,lab,SE
ent_719f678201,GeneWorks 277,startup,NL
ent_91bc183cd8,BatterySolutions 975,startup,PT
ent_30587f9d16,MicroFab Labs 133,consortium,DE
ent_64b99e4706,AgriCorp 922,consortium,SE
ent_759918f9f0,PharmaCo 173,consortium,IT
ent_681e1db06e,BioPlatform SA 295,university,NL
ent_148e57d28b,TheraWorks 428,startup,SE
ent_932ddf5322,BatterySolutions 511,university,UK
ent_c13d444354,PharmaCo 166,company,DE
ent_9eaeefee3d,TheraWorks 698,consortium,FR
ent_c8fb90afca,BioPlatform SA 445,startup,NL
ent_414d425b81,GeneWorks 433,consortium,ES
ent_0b5ab0ec0c,MedDevicesLtd 802,company,ES
ent_93e4f299d2,GeneWorks 553,startup,DE
ent_37565cfebf,TheraWorks 556,startup,US
ent_21f995ac23,BioPlatform SA 394,lab,ES
ent_2f744715ce,MicroFab Labs 288,startup,US
ent_1bb47bf6ed,AgriCorp 368,consortium,FI
